CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
2.5,3.5,4.5,4.5,7.5,4.5,7.5,4.5,11
0.5,4.5,1.5,3.5,7.5,2.5,8.5,0.5,11
0.5,0.5,4.5,1.5,7.5,2.5,6.5,1.5,10
0.5,4.5,4.5,3.5,6.5,2.5,8.5,3.5,4
4.5,3.5,6.5,2.5,8.5,3.5,8.5,3.5,5
0.5,3.5,5.5,1.5,8.5,1.5,8.5,1.5,10
0.5,3.5,0.5,2.5,3.5,3.5,4.5,4.5,23
0.5,4.5,0.5,5.5,5.5,3.5,7.5,5.5,1
1.5,1.5,7.5,1.5,7.5,1.5,4.5,0.5,2
0.5,1.5,3.5,2.5,4.5,3.5,6.5,5.5,4
0.5,3.5,0.5,3.5,4.5,3.5,8.5,3.5,5
0.5,3.5,4.5,3.5,8.5,3.5,8.5,3.5,6
0.5,1.5,2.5,3.5,5.5,1.5,6.5,0.5,6
0.5,3.5,2.5,2.5,6.5,2.5,7.5,0.5,6
0.5,2.5,0.5,3.5,3.5,4.5,7.5,5.5,4
0.5,0.5,1.5,1.5,0.5,4.5,1.5,2.5,8
0.5,1.5,0.5,2.5,3.5,3.5,6.5,3.5,15
0.5,4.5,7.5,3.5,7.5,1.9705735953885193,3.5,1.5,24
0.5,4.5,2.5,4.5,5.5,3.5,6.5,3.5,6
0.5,3.5,3.5,2.5,5.5,2.5,7.5,0.5,9
8.5,2.5,8.5,3.5,5.5,3.5,8.5,2.5,8
0.5,3.5,4.5,2.5,8.5,1.5,0.5,3.5,8
4.5,3.5,8.5,1.5,6.5,0.5,5.5,0.5,11
0.5,4.5,0.985167546736195,4.499999999999999,0.5,3.5,6.5,3.5,7
0.5,1.5,0.5,2.5,5.5,5.5,0.5,1.5,23
0.5,1.5,3.5,2.5,5.5,2.5,4.5,1.5,6
0.5,1.5,1.5,0.5,3.5,0.5,8.5,0.5,6
0.5,3.5,0.5,3.5,4.5,2.5,8.5,2.5,8
4.5,2.5,2.5,4.5,8.5,3.5,0.5,5.5,23
1.5,3.5,4.5,2.5,7.5,1.5,6.5,0.5,23
2.5,4.5,8.5,3.5,0.5,5.5,3.5,4.5,24
0.5,2.5,0.5,2.5,2.5,2.5,7.5,1.5,7
1.5,1.5,4.5,2.5,7.5,4.5,7.5,4.5,8
0.5,2.5,3.5,2.5,5.5,2.5,6.008298431400809,2.5000000000000004,9
0.5,4.5,1.5,3.5,5.5,2.5,7.5,1.5,10
0.5,2.5,2.5,2.5,6.5,2.5,7.5,4.5,11
1.5,3.5,7.5,2.5,6.5,2.5,6.5,0.5,24
2.5,4.5,4.5,4.5,7.5,5.5,0.5,2.5,5
4.5,4.5,7.5,5.5,0.5,2.5,1.5,1.5,6
1.5,4.5,1.5,3.5,3.5,3.5,8.5,5.5,11
0.5,3.5,0.5,4.5,6.5,3.5,8.5,3.5,1
0.5,4.5,1.5,4.5,6.5,4.5,5.5,4.5,8
0.5,2.5,1.5,4.5,1.5,5.5,5.5,5.5,9
0.5,1.5,2.5,3.5,6.5,3.5,8.5,3.5,11
0.5,3.5,1.5,4.5,6.5,5.5,8.5,5.5,3
0.5,1.5,1.5,2.5,5.5,3.5,7.5,4.5,8
1.5,5.5,7.5,4.5,1.5,2.5,1.5,3.5,8
0.5,2.5,2.5,2.5,7.5,3.5,6.5,0.5,8
1.5,2.5,4.5,3.5,7.5,3.5,7.5,0.5,10
0.5,3.5,0.5,3.5,1.5,3.5,2.5,2.5,21
0.5,3.5,1.5,3.5,2.5,2.5,6.5,3.5,22
1.5,1.5,0.5,1.5,2.5,1.5,6.5,0.5,3
1.5,3.5,5.5,2.5,5.5,2.5,6.5,0.5,9
0.5,4.5,3.5,3.5,5.5,4.5,8.5,3.5,22
3.5,1.5,5.5,2.5,6.5,3.5,6.5,3.5,7
1.5,2.5,2.5,2.5,5.5,2.5,1.0074707322022467,2.5000000000000004,9
2.5,2.5,5.5,2.5,1.0074707322022467,2.5000000000000004,1.5,3.5,10
5.5,2.5,1.0074707322022467,2.5000000000000004,1.5,3.5,3.5,4.5,11
0.5,3.5,3.5,3.5,8.5,3.5,8.5,4.5,12
3.5,3.5,8.5,3.5,8.5,4.5,6.5,5.5,13
0.5,3.5,2.5,2.5,6.5,2.5,8.5,1.5,22
2.5,2.5,6.5,2.5,8.5,1.5,5.5,0.5,23
2.5,2.5,5.5,2.5,7.5,3.5,5.5,2.5,1
1.5,3.5,3.5,2.5,4.5,2.5,6.5,0.5,3
0.5,2.5,2.5,3.5,5.5,2.5,8.5,5.5,7
0.5,3.5,0.5,3.5,3.5,2.5,6.5,3.5,12
1.5,1.5,1.5,1.5,2.5,3.5,3.5,2.5,23
1.5,1.5,2.5,3.5,3.5,2.5,8.5,1.5,24
0.5,5.5,1.5,4.5,5.5,3.5,7.5,5.5,7
1.5,2.5,1.5,1.5,1.5,1.5,7.5,2.5,10
1.5,4.5,3.5,4.5,8.5,3.5,8.5,3.5,8
3.5,4.5,8.5,3.5,8.5,3.5,4.5,4.9580818517718255,9
2.5,3.5,4.5,3.5,7.5,3.5,6.5,3.5,19
0.5,2.5,1.5,3.5,1.5,4.5,2.5,3.5,3
1.5,3.5,1.5,4.5,2.5,3.5,6.5,4.5,4
0.5,1.5,1.5,2.5,6.5,2.5,8.5,4.5,18
2.5,5.5,5.5,3.5,7.5,4.5,8.5,5.5,24
1.5,2.5,3.5,2.5,7.5,2.5,8.5,3.5,21
1.5,3.5,3.5,2.5,7.5,3.5,7.5,3.5,8
0.5,1.5,2.5,1.5,7.5,1.5,7.5,2.5,9
3.5,2.5,7.5,3.5,7.5,3.5,8.5,4.5,9
2.5,1.5,7.5,1.5,7.5,2.5,5.5,4.5,10
